prepare to,7
to win,7
it be,6
to be,5
how to,5
do n't,4
in the,4
that you,4
i have,4
i be,4
a core,3
be true,3
true to,3
you care,3
precious soul,3
win be,3
if you,2
want to,2
be a,2
core set,2
set of,2
vision and,2
must be,2
to yourself,2
cause before,2
before you,2
you announce,2
spend the,2
listen to,2
be not,2
the republican,2
to listen,2
the tape,2
be all,2
the presentation,2
presentation of,2
of sen,2
but it,2
to ask,2
for example,2
party chairman,2
to use,2
your campaign,2
to rep,2
the speaker,2
for the,2
insist that,2
your core,2
core principle,2
to teach,2
the cause,2
be much,2
much more,2
be this,2
that i,2
they want,2
that be,2
learn politics,1
politics while,1
while you,1
you drive,1
drive if,1
you want,1
a republican,1
republican and,1
and who,1
who do,1
n't really,1
really you,1
you need,1
need a,1
of principle,1
principle a,1
of belief,1
belief a,1
core vision,1
and fire,1
fire in,1
the belly,1
belly you,1
you must,1
yourself show,1
show that,1
care and,1
and treat,1
treat every,1
every voter,1
voter like,1
like a,1
a precious,1
soul and,1
and do,1
n't forget,1
forget to,1
to involve,1
involve yourself,1
yourself with,1
with a,1
a high-profile,1
high-profile cause,1
announce your,1
your it,1
it 'll,1
'll really,1
really help,1
help your,1
your fund,1
fund raising,1
raising i,1
i know,1
know all,1
all this,1
this because,1
because i,1
have spend,1
the past,1
past week,1
week listen,1
to prepare,1
win a,1
a program,1
program of,1
of audiotape,1
audiotape and,1
and accompany,1
accompany workbook,1
workbook i,1
not kid,1
kid from,1
from the,1
republican national,1
national four,1
four hour,1
hour 28,1
28 speaker,1
speaker senator,1
senator house,1
house member,1
member etc,1
etc and,1
and advice,1
advice on,1
on everything,1
everything from,1
from fund,1
fund raise,1
raise to,1
to hire,1
hire staff,1
staff to,1
to woo,1
woo the,1
the media,1
media the,1
the rnc,1
rnc be,1
be distribute,1
distribute prepare,1
win to,1
to hundred,1
hundred of,1
of potential,1
potential 2000,1
2000 candidate,1
candidate for,1
for congress,1
congress state,1
state legislature,1
legislature county,1
county commissioner,1
commissioner and,1
and other,1
other office,1
office would-be,1
would-be candidate,1
candidate be,1
be suppose,1
suppose to,1
listen while,1
while they,1
they sleep,1
sleep eat,1
eat or,1
or drive,1
drive here,1
here 's,1
's rnc,1
rnc chairman,1
chairman jim,1
jim nicholson,1
nicholson urge,1
urge republican,1
republican to,1
listen over,1
over and,1
and over,1
over again,1
again to,1
to the,1
tape ,1
 ,1
 it,1
be inevitable,1
inevitable that,1
that self-improvement,1
self-improvement culture,1
culture which,1
which have,1
have infect,1
infect every,1
every other,1
other aspect,1
aspect of,1
of american,1
american life,1
life would,1
would eventually,1
eventually contaminate,1
contaminate politics,1
politics at,1
at last,1
last it,1
it have,1
have washington,1
washington where,1
where member,1
member of,1
of congress,1
congress be,1
all well-coiffed,1
well-coiffed well-spoken,1
well-spoken well-dressed,1
well-dressed and,1
and well-prepped,1
well-prepped make,1
make it,1
it easy,1
easy to,1
to forget,1
forget that,1
that politician,1
politician be,1
be make,1
make not,1
not bear,1
bear for,1
for every,1
every bill,1
bill clinton,1
clinton who,1
who spring,1
spring from,1
from his,1
his mother,1
mother 's,1
's womb,1
womb wear,1
wear a,1
a blue,1
blue suit,1
suit and,1
and speak,1
speak in,1
in sound,1
sound bite,1
bite there,1
there be,1
be score,1
score of,1
of awkward,1
awkward ambitious,1
ambitious rotarian,1
rotarian need,1
need guidance,1
guidance in,1
in day,1
day of,1
of yore,1
yore aspiring,1
aspiring pol,1
pol learn,1
learn their,1
their trade,1
trade by,1
by sit,1
sit in,1
the party,1
party clubhouse,1
clubhouse but,1
but political,1
political education,1
